Algorithm,Iteration,Time(ms),Comparisons,Assignments
BubbleSort,1,1755,199990000,99945765
SelectSort,1,2712,199990000,20000
InsertSort,1,3199,99945765,99965764
InsertSortBinarySearch,1,3205,19999,100008337
QuickSort,1,3210,638310,454216
MergeSort,1,3227,239705,287232
RadixSort,1,3229,319705,367308
LinearSearch,1,3229,7234,7234
BinarySearch,1,3230,14,287712379549449,0
BubbleSort,2,795,199990000,99925223
SelectSort,2,1287,199990000,20000
InsertSort,2,1622,99925223,99945222
InsertSortBinarySearch,2,1627,19999,100003588
QuickSort,2,1632,903359,807421
MergeSort,2,1641,243633,287232
RadixSort,2,1643,323633,367308
LinearSearch,2,1643,4279,4279
BinarySearch,2,1643,14,287712379549449,0
BubbleSort,3,756,199990000,99920571
SelectSort,3,1240,199990000,20000
InsertSort,3,1570,99920571,99940570
InsertSortBinarySearch,3,1575,19999,100010632
QuickSort,3,1579,649797,536662
MergeSort,3,1583,242522,287232
RadixSort,3,1585,302522,347289
LinearSearch,3,1585,1986,1986
BinarySearch,3,1585,14,287712379549449,0
BubbleSort,4,764,199990000,99895555
SelectSort,4,1239,199990000,20000
InsertSort,4,1570,99895555,99915554
InsertSortBinarySearch,4,1574,19999,100000650
QuickSort,4,1578,530077,391859
MergeSort,4,1582,244523,287232
RadixSort,4,1583,304523,347289
LinearSearch,4,1583,3810,3810
BinarySearch,4,1583,14,287712379549449,0
BubbleSort,5,750,199990000,99931073
SelectSort,5,1227,199990000,20000
InsertSort,5,1559,99931073,99951072
InsertSortBinarySearch,5,1563,19999,100005186
QuickSort,5,1569,884683,804470
MergeSort,5,1573,241492,287232
RadixSort,5,1575,321492,367308
LinearSearch,5,1575,2016,2016
BinarySearch,5,1575,14,287712379549449,0
BubbleSort,6,750,199990000,99910071
SelectSort,6,1228,199990000,20000
InsertSort,6,1559,99910071,99930070
InsertSortBinarySearch,6,1564,19999,100002275
QuickSort,6,1567,519865,353904
MergeSort,6,1572,243470,287232
RadixSort,6,1573,303470,347289
LinearSearch,6,1573,4149,4149
BinarySearch,6,1573,14,287712379549449,0
BubbleSort,7,756,199990000,99846895
SelectSort,7,1230,199990000,20000
InsertSort,7,1562,99846895,99866894
InsertSortBinarySearch,7,1566,19999,100005321
QuickSort,7,1571,720248,646253
MergeSort,7,1576,246765,287232
RadixSort,7,1578,306765,347289
LinearSearch,7,1578,1361,1361
BinarySearch,7,1578,14,287712379549449,0
BubbleSort,8,748,199990000,99908410
SelectSort,8,1228,199990000,20000
InsertSort,8,1617,99908410,99928409
InsertSortBinarySearch,8,1622,19999,100006298
QuickSort,8,1626,647754,502657
MergeSort,8,1631,242387,287232
RadixSort,8,1633,322387,367308
LinearSearch,8,1633,16350,16350
BinarySearch,8,1633,14,287712379549449,0
BubbleSort,9,760,199990000,99889400
SelectSort,9,1239,199990000,20000
InsertSort,9,1570,99889400,99909399
InsertSortBinarySearch,9,1575,19999,100008894
QuickSort,9,1580,868341,780886
MergeSort,9,1584,242912,287232
RadixSort,9,1586,302912,347289
LinearSearch,9,1586,4591,4591
BinarySearch,9,1586,14,287712379549449,0
BubbleSort,10,751,199990000,99905385
SelectSort,10,1229,199990000,20000
InsertSort,10,1561,99905385,99925384
InsertSortBinarySearch,10,1566,19999,100007400
QuickSort,10,1570,634714,418263
MergeSort,10,1574,242492,287232
RadixSort,10,1576,302492,347289
LinearSearch,10,1576,19248,19248
BinarySearch,10,1576,14,287712379549449,0
